id,district_id,name,bn_name,lat,lon,url
451,60,Phulbari,ফুলবাড়ী,28.61590415,80.69978482026164,phulbari.kurigram.gov.bd
452,60,Rajarhat,রাজারহাট,22.6212802,88.48552309164045,rajarhat.kurigram.gov.bd
453,60,Ulipur,উলিপুর,25.6558768,89.6191027,ulipur.kurigram.gov.bd
454,60,Chilmari,চিলমারী,25.5850605,89.6622435,chilmari.kurigram.gov.bd
455,60,Rowmari,রৌমারী,25.576821,89.8348269,rowmari.kurigram.gov.bd
456,60,Charrajibpur,চর রাজিবপুর,0.0,0.0,charrajibpur.kurigram.gov.bd
457,61,Sherpur Sadar,শেরপুর সদর,-4.5786201,119.8243834,sherpursadar.sherpur.gov.bd
458,61,Nalitabari,নালিতাবাড়ী,25.0896639,90.194301,nalitabari.sherpur.gov.bd
459,61,Sreebordi,শ্রীবরদী,0.0,0.0,sreebordi.sherpur.gov.bd
460,61,Nokla,নকলা,0.0,0.0,nokla.sherpur.gov.bd
461,61,Jhenaigati,ঝিনাইগাতী,0.0,0.0,jhenaigati.sherpur.gov.bd
462,62,Fulbaria,ফুলবাড়ীয়া,24.1864353,90.2966132,fulbaria.mymensingh.gov.bd
463,62,Trishal,ত্রিশাল,24.5801146,90.3971402,trishal.mymensingh.gov.bd
464,62,Bhaluka,ভালুকা,24.404455,90.3863536,bhaluka.mymensingh.gov.bd
465,62,Muktagacha,মুক্তাগাছা,24.7651553,90.2583669,muktagacha.mymensingh.gov.bd
466,62,Mymensingh Sadar,ময়মনসিংহ সদর,24.8680673,90.7419956,mymensinghsadar.mymensingh.gov.bd
467,62,Dhobaura,ধোবাউড়া,25.0975326,90.4606544,dhobaura.mymensingh.gov.bd
468,62,Phulpur,ফুলপুর,26.03519585,82.79883384377142,phulpur.mymensingh.gov.bd
469,62,Haluaghat,হালুয়াঘাট,25.1222567,90.3395618,haluaghat.mymensingh.gov.bd
470,62,Gouripur,গৌরীপুর,24.7600679,90.5703878,gouripur.mymensingh.gov.bd
471,62,Gafargaon,গফরগাঁও,24.4550778,90.5498526,gafargaon.mymensingh.gov.bd
472,62,Iswarganj,ঈশ্বরগঞ্জ,0.0,0.0,iswarganj.mymensingh.gov.bd
473,62,Nandail,নান্দাইল,24.5703293,90.6866685,nandail.mymensingh.gov.bd
474,62,Tarakanda,তারাকান্দা,24.8333993,90.4381487,tarakanda.mymensingh.gov.bd
475,63,Jamalpur Sadar,জামালপুর সদর,0.0,0.0,jamalpursadar.jamalpur.gov.bd
476,63,Melandah,মেলান্দহ,24.949468,89.8854452,melandah.jamalpur.gov.bd
477,63,Islampur,ইসলামপুর,25.097341450000002,85.26190556056528,islampur.jamalpur.gov.bd
478,63,Dewangonj,দেওয়ানগঞ্জ,25.1702493,89.7719739,dewangonj.jamalpur.gov.bd
479,63,Sarishabari,সরিষাবাড়ী,24.7499467,89.8331666,sarishabari.jamalpur.gov.bd
480,63,Madarganj,মাদারগঞ্জ,25.4261491,89.3800255,madarganj.jamalpur.gov.bd
481,63,Bokshiganj,বকশীগঞ্জ,0.0,0.0,bokshiganj.jamalpur.gov.bd
482,64,Barhatta,বারহাট্টা,24.891979,90.8918435,barhatta.netrokona.gov.bd
483,64,Durgapur,দুর্গাপুর,23.5350475,87.3380425,durgapur.netrokona.gov.bd
484,64,Kendua,কেন্দুয়া,24.6617233,90.8454168,kendua.netrokona.gov.bd
485,64,Atpara,আটপাড়া,26.0775999,73.7368869,atpara.netrokona.gov.bd
486,64,Madan,মদন,-5.2129115,145.8088188,madan.netrokona.gov.bd
487,64,Khaliajuri,খালিয়াজুরী,24.6912562,91.1411753,khaliajuri.netrokona.gov.bd
488,64,Kalmakanda,কলমাকান্দা,25.0771586,90.8882575,kalmakanda.netrokona.gov.bd
